Cleaned_Comment,Predicted_Sentiment
virathardik and boom is hero of this dream finale,POSITIVE
never give up,POSITIVE
men came back men watched the video men remembered the moment men shed some drops of tears of joy,POSITIVE
how many times will you watch it,POSITIVE
i am proud to be indian,POSITIVE
still cant believe how india managed to stop klaasen on song,NEGATIVE
moment of the decade,POSITIVE
jazmin extensions,POSITIVE
thank god abb dhoni ko abb yaad nhi karna padega,NEGATIVE
pakistan walo baap bolo india ko,NEGATIVE
these are the moments i live foroh man that was pure wholesome,POSITIVE
sa the greatest chokers of all time,POSITIVE
and that voice of harsha bhogle sirfor generations,NEGATIVE
very good editing,POSITIVE
i am still cryingafter watching this movement,NEGATIVE
what a final,POSITIVE
conroy dam,POSITIVE
remember the name henric klassen and killer miller,POSITIVE
feest center,NEGATIVE
why i am crying,NEGATIVE
icc also knows the importance of risabh pants injury before the that hardik over,POSITIVE
weimann forge,NEGATIVE
surya bhau mere sare jameen jaedad tere naam,NEGATIVE
long off long off,NEGATIVE
this editing is way way better than indian serials lol,POSITIVE
filiberto underpass,NEGATIVE
abbba jit gye,NEGATIVE
whenever i feel low i come to see this goosebumps,POSITIVE
jones larry johnson richard wilson carol,POSITIVE
jakubowski stravenue,NEGATIVE
stehr orchard,POSITIVE
an absolute cinema,POSITIVE
herminia vista,POSITIVE
i join the history part on my comment,POSITIVE
long off long off long off suryakumar suryakumar yaduav nepadkha ha ligeka sb se age tum bolo,NEGATIVE
baap jitt gya ab bete ki bari champions trophy go pakistan,POSITIVE
this is amazing and at the same time its beautiful and emotional thanks icc for this video,POSITIVE
hailey land,POSITIVE
this is indeed quotan epic montagequot,NEGATIVE
medhurst heights,POSITIVE
coz of bcci richer then icc thats way to be honest i also indian but this world cup south africa deserve to win cheat keya icc ne,NEGATIVE
cheat keya,NEGATIVE
moment history,POSITIVE
aj bhi dekh k goosebumps aarhe h,NEGATIVE
still can experience the goosebumps such a cliffhanger it was,POSITIVE
its not highlight its a movie,NEGATIVE
that break from rohit was crucial that was where klassen lost his momentum whenever things dont go by ur way take a break,NEGATIVE
mahendra singh dhoni captaincy,POSITIVE
pouros valleys,POSITIVE
icc just deleat this one,NEGATIVE
ivory locks,POSITIVE
for me this win was bitter sweet i was happy that india won the match but i felt bad for south africa,NEGATIVE
golden commentery from jatin ek aakhri mauka hardik pandyalong offlong offlong offffffff surya kumar yadav surya kumar yadav ne pakda hai apne career ka sabse important catch ek low full toss david miller ka wicket hardik pandya jarur umpire check krna chahenge lekin aakho ke theek neeche ye mamla saaf dikha ye umeeden barkaraar dikhi ye final giraft me dikha,POSITIVE
you f that supports india always,POSITIVE
gay creek,NEGATIVE
aaj bhi ye moment dekh kr aakho me aasu aajata h,NEGATIVE
remember once a legend said quot that one percent chance is enoughquot aur yaha to ek percent se jyada ka chance thakaise kuch nhi hota,NEGATIVE
but indian break this team,POSITIVE
virat kohli s classy innings and skys catch of the millennium,POSITIVE
i have watched this hundred of times but it still gives goosebumps,POSITIVE
virat kohli ne pehle over mein hi match jeeta diya tha,POSITIVE
powlowski loaf,NEGATIVE
i am still stuck here,NEGATIVE
perfect catch by surya dada,POSITIVE
rula diya yrr,POSITIVE
this moment is all that have been dreaming of somewhere i feel it in my soul in my soul one chance is everything we waited for its our time so let me take it home and knock out of this world,POSITIVE
ratke rapid,NEGATIVE
no matter how many time we watch it was just,NEGATIVE
are we just wanna keep watching this over and over and not acknowledge how good ian smiths commentary is,NEGATIVE
absdolute cinema,NEGATIVE
sky and ian smith will be remembered for centuries to come this catch would be incomplete without that sweet commentary,NEGATIVE
i am not crying theres something in my eye,POSITIVE
goosebumps guarantee everytime my sister in law was battling with cancer she was in icu saw this on a cell phone in the waiting room tears trickled down my eyes when surya took that catch four days later she succumbed to cancer such a bitter sweet memory,POSITIVE
congratulations pakistan aapke abbu jeet gye,POSITIVE
whenever i watch this i always have tears in my eyes love thanks ict for giving us another decade of memories,POSITIVE
damore pike,NEGATIVE
king stood tall once again,POSITIVE
pakistan be likequotabbu wc jeet gye,NEGATIVE
conroy pike,POSITIVE
what a a match in icc cricket history this is the incredible match this is the magic of india indiaindia,POSITIVE
memorable moment for us,POSITIVE
goosebumps and tears,POSITIVE
goose bumps,POSITIVE
kuphal springs,POSITIVE
itne mahine hogye lekin still got so emotional everytime i see this,POSITIVE
that daywhat a day,NEGATIVE
editing on steroids,NEGATIVE
before icc international cc now icc india cc,POSITIVE
yesssssssssssssss,NEGATIVE
he is not lucky they get the commentators of the winning teams in the final overs remeber the name,NEGATIVE
thank you icc,POSITIVE
this is called strugle someone said right sabar ka faal mitha hota hai,NEGATIVE
hettinger fort,NEGATIVE
live dekhne ka ghamand hai,POSITIVE
thompson wall,POSITIVE
what quality of the video its mind boggling,NEGATIVE
jailyn squares,POSITIVE
i think hanuman kind look like quentin decock,NEGATIVE
bumrah is too tough mentally man,NEGATIVE
clara parkways,POSITIVE
what a incredible video this is out of the world,POSITIVE
great victory for,POSITIVE
a champion team,POSITIVE
first time in the history that father telling their son dont follow me and dont do what i have done,NEGATIVE
casper dale,POSITIVE
love u india and tanks,POSITIVE
kids are happy with lolipopop meanwhile real champions australians own the real worldcup,POSITIVE
kariane forge,NEGATIVE
ulises stream,POSITIVE
hillard hill,POSITIVE
jordi turnpike,POSITIVE
kings kohli,POSITIVE
hudson lakes,POSITIVE
what a frickin montage bravo icc,NEGATIVE
zemlak meadows,NEGATIVE
pakistanis please apply burnol,NEGATIVE
ian smith on mic,POSITIVE
jamir way,POSITIVE
what a editing by editors,NEGATIVE
hazle crest,POSITIVE
quotthe squeeze is onquot ian smith,POSITIVE
shana common,NEGATIVE
abbey prairie,POSITIVE
we need ravi sastri commentry box in every crusial match of icc,NEGATIVE
tremendous nail bighting movement for india,POSITIVE
historical moments for indian cricket fans,POSITIVE
love you hitman and congratulations team,POSITIVE
never getting over this,NEGATIVE
shirley rapid,POSITIVE
this is cinema for me,POSITIVE
world class video editing world class final world class commentary wonderful background music goosebumps,POSITIVE
bumrah was the one who gave us hope confidence,POSITIVE
shanahan terrace,POSITIVE
greatest edit icc ever made,POSITIVE
bhaisahab full goosebumps,POSITIVE
rohit throwing the ball to hardik and virat throwing it to boom boom what an edit goosebumps,POSITIVE
rohit sharmas captaincy,POSITIVE
ubaldo landing,POSITIVE
avery route,POSITIVE
india jit gaye every indian had emotional in this moment,POSITIVE
goosebumps everytime when i watched this,POSITIVE
still have tear of happiness,POSITIVE
when sky took the catch the whole street shouted at the same time even tough even one was in home,NEGATIVE
what an edit what a match,POSITIVE
thriller movie,POSITIVE
one of the best nail biters,POSITIVE
bhai jb vi rohit ka jamen pe hath marte huye dekhta hun lagta hai mai khud world cup jita hun proud feel hota hai bhai,POSITIVE
hardik the unsung hero,POSITIVE
absolute goosebumps,POSITIVE
this will reman evergreen,POSITIVE
no words for it,NEGATIVE
sukoon,POSITIVE
finally pak father win world cup,POSITIVE
im pakistani but india truely deserve that trophy,POSITIVE
i never see highlight like that,POSITIVE
pura match live dhekhne ka ghamand hai,POSITIVE
borer groves,NEGATIVE
edmund club,POSITIVE
kuphal inlet,NEGATIVE
the moment i saw miller hitting the ball far into the sky i felt my heart drop until i say sky catch it out of no where and i crazy one of the craziest things i saw,POSITIVE
vella bypass,NEGATIVE
klaasen bhi hame hamesha yaad rahega,NEGATIVE
where tf are all the sri lankan and pakistan fans now made fun of ind getting done by aus but when they have more success than them winning another world final theyre silent again,NEGATIVE
it was so hard to watch this match because the broadcasters make to hard to access their live coverage apparently the weather almost overwhelmef the technical abilities when i watched it live that day and apparently the ability to apply long term scientific weather forecasts to decide what match venues to use is still in baby stages most camera and technical equipment is portable venues are pretty standard in equpment and amenities airplanes move people pretty quickly these days so why not look at long range weather forecasts doppler radars shouldnt be used to adjust start and end times for matches lots of wealthy invested complaining about test cricket fading away why not use modern streamlineanagement techniques in cricket so fewer matches are disrupted by the weather why not stop the crazy broadcasting rights wars that cause fans to get frustrated and walk away,NEGATIVE
fire the asshat who made this montage your viewers want highlight not some theater majors wet dream,NEGATIVE
goat final,NEGATIVE
what a montage icc,POSITIVE
puri tim ki mhent he cap jitna ksi ik nhi,NEGATIVE
we did it now i can too anything is possible trust yourself believe in yourself,NEGATIVE
epic indeed,POSITIVE
match of the decade,POSITIVE
huels ways,POSITIVE
gulgowski grove,POSITIVE
mccullough court,POSITIVE
alba crescent,POSITIVE
suryas catch was like a relief all that pain of many years was eased that day,POSITIVE
great hitman,POSITIVE
time for bollywood to have a virat kohli biopic,POSITIVE
virginia crossroad,NEGATIVE
my country,POSITIVE
still feeling goosebumps,POSITIVE
jassi clean bowled was so classic,POSITIVE
whenever i feel low i come hereand everything get normal,NEGATIVE
and we won,POSITIVE
superb edit sound mix from icc team,POSITIVE
l bozo,NEGATIVE
i will remember axars innings till the last breath of mine,POSITIVE
a big hand for our proteas brothers they lost the match but won every heart hold your head high,POSITIVE
rohit sharmas celebration gooogsbump,NEGATIVE
it still feels unreal to this date,NEGATIVE
rongte khade ho gye fir se dekh yaade taja ho gyi jaise kal hi world cup jite ho,NEGATIVE
quotwatching this video felt like oppenheimer just walked into the icc to umpire a cricket matchabsolutely explosive and gamechangingquot,NEGATIVE
last dance of goat rohit sharma and goat virat kohli,POSITIVE
loonnnnggggg offfffff llloooonnnnggggg offffffff lllloooonnngggg offfff,NEGATIVE
best moments hai bhai,POSITIVE
its always remember in my heart,POSITIVE
karma leads to win the trophy hard work by every indian player,POSITIVE
i cried for this momentindian team,NEGATIVE
hey icc can i use this video,NEGATIVE
one of the best comeback ever in the world cup final,POSITIVE
its still not moving from our blood always india barath mata ki jai,NEGATIVE
to all who teared up jai hind,POSITIVE
it gives me goosebumps each time i watch highlights of this match,POSITIVE
klaasen genuinely played well,POSITIVE
both innings should be shown otherwise editing is awesome,POSITIVE
the bgm the win the emotions amp the moment,POSITIVE
jai hind vande matram bharat mata ki jai hindustan zindabad incredible india,POSITIVE
